date,company,close
2023-01-01,COMP_000,1055.0
2023-01-02,COMP_000,1054.33
2023-01-03,COMP_000,1060.73
2023-01-04,COMP_000,1064.74
2023-01-05,COMP_000,1092.21
2023-01-06,COMP_000,1088.09
2023-01-07,COMP_000,1070.24
2023-01-08,COMP_000,1060.4
2023-01-09,COMP_000,1070.59
2023-01-10,COMP_000,1062.95
2023-01-11,COMP_000,1057.45
2023-01-12,COMP_000,1049.31
2023-01-13,COMP_000,1052.09
2023-01-14,COMP_000,1049.74
2023-01-15,COMP_000,1051.87
2023-01-16,COMP_000,1051.27
2023-01-17,COMP_000,1062.98
2023-01-18,COMP_000,1071.69
2023-01-19,COMP_000,1073.8
2023-01-20,COMP_000,1052.0
2023-01-21,COMP_000,1045.59
2023-01-22,COMP_000,1043.96
2023-01-23,COMP_000,1032.52
2023-01-24,COMP_000,1036.39
2023-01-25,COMP_000,1024.37
2023-01-26,COMP_000,1031.28
2023-01-27,COMP_000,1021.07
2023-01-28,COMP_000,1019.71
2023-01-29,COMP_000,1026.44
2023-01-30,COMP_000,1030.77
2023-01-31,COMP_000,1024.14
2023-02-01,COMP_000,1018.42
2023-02-02,COMP_000,1016.8
2023-02-03,COMP_000,1011.68
2023-02-04,COMP_000,1021.46
2023-02-05,COMP_000,1013.65
2023-02-06,COMP_000,1018.96
2023-02-07,COMP_000,1021.14
2023-02-08,COMP_000,1042.03
2023-02-09,COMP_000,1053.2
2023-02-10,COMP_000,1066.58
2023-02-11,COMP_000,1068.62
2023-02-12,COMP_000,1074.86
2023-02-13,COMP_000,1081.84
2023-02-14,COMP_000,1086.58
2023-02-15,COMP_000,1081.54
2023-02-16,COMP_000,1081.03
2023-02-17,COMP_000,1088.05
2023-02-18,COMP_000,1099.75
2023-02-19,COMP_000,1109.64
2023-02-20,COMP_000,1091.32
2023-02-21,COMP_000,1101.81
2023-02-22,COMP_000,1101.37
2023-02-23,COMP_000,1107.05
2023-02-24,COMP_000,1136.78
2023-02-25,COMP_000,1140.89
2023-02-26,COMP_000,1121.47
2023-02-27,COMP_000,1134.69
2023-02-28,COMP_000,1119.76
2023-03-01,COMP_000,1126.88
2023-03-02,COMP_000,1097.22
2023-03-03,COMP_000,1097.54
2023-03-04,COMP_000,1095.4
2023-03-05,COMP_000,1105.39
2023-03-06,COMP_000,1109.0
2023-03-07,COMP_000,1087.27
2023-03-08,COMP_000,1118.97
2023-03-09,COMP_000,1122.03
2023-03-10,COMP_000,1143.22
2023-03-11,COMP_000,1150.97
2023-03-12,COMP_000,1152.25
2023-03-13,COMP_000,1150.32
2023-03-14,COMP_000,1147.49
2023-03-15,COMP_000,1134.39
2023-03-16,COMP_000,1116.16
2023-03-17,COMP_000,1114.45
2023-03-18,COMP_000,1120.69
2023-03-19,COMP_000,1141.08
2023-03-20,COMP_000,1127.16
2023-03-21,COMP_000,1117.65
2023-03-22,COMP_000,1115.74
2023-03-23,COMP_000,1085.68
2023-03-24,COMP_000,1096.69
2023-03-25,COMP_000,1106.62
2023-03-26,COMP_000,1112.81
2023-03-27,COMP_000,1090.51
2023-03-28,COMP_000,1081.69
2023-03-29,COMP_000,1077.87
2023-03-30,COMP_000,1082.66
2023-03-31,COMP_000,1082.17
2023-04-01,COMP_000,1068.25
2023-04-02,COMP_000,1060.63
2023-04-03,COMP_000,1050.51
2023-04-04,COMP_000,1045.0
2023-04-05,COMP_000,1038.53
2023-04-06,COMP_000,1026.74
2023-04-07,COMP_000,1023.84
2023-04-08,COMP_000,1013.94
2023-04-09,COMP_000,999.24
2023-04-10,COMP_000,977.1
2023-04-11,COMP_000,974.41
2023-04-12,COMP_000,949.51
2023-04-13,COMP_000,960.26
2023-04-14,COMP_000,950.55
2023-04-15,COMP_000,965.07
2023-04-16,COMP_000,976.85
2023-04-17,COMP_000,990.31
2023-04-18,COMP_000,985.7
2023-04-19,COMP_000,989.5
2023-04-20,COMP_000,998.39
2023-04-21,COMP_000,1009.25
2023-04-22,COMP_000,1005.93
2023-04-23,COMP_000,1000.14
2023-04-24,COMP_000,995.68
